interupt_cycles proc_cycles interrupts.size() processes.size()
124 273 0 28
124 274 0 28
124 275 0 28
124 276 0 28
124 277 0 28
124 278 0 27
125 278 1 27
126 278 1 27
127 278 0 27
127 279 0 27
127 280 0 27
127 281 0 27
127 282 0 27
127 283 0 27
127 284 0 27
127 285 0 27
127 286 0 27
128 286 1 27
129 286 1 27
130 286 1 27
131 286 1 27
132 286 0 27
132 287 0 27
132 288 0 27
132 289 0 27
132 290 0 27
132 291 0 27
132 292 0 27
132 293 0 27
132 294 0 27
132 295 0 27
132 296 0 27
132 297 0 27
133 297 0 27
133 298 0 27
133 299 0 27
133 300 0 27
133 301 0 27
133 302 0 27
133 303 0 27
133 304 0 27
133 305 0 27
133 306 0 27
134 306 0 27
134 307 0 27
134 308 0 27
134 309 0 27
134 310 0 27
134 311 0 27
134 312 0 27
134 313 0 27
134 314 0 27
134 315 0 27
135 315 0 27
136 315 1 28
137 315 1 28
138 315 1 28
139 315 0 28
139 316 0 28
139 317 0 28
139 318 0 28
139 319 0 28
139 320 0 28
139 321 0 28
139 322 0 28
139 323 0 28
139 324 0 28
139 325 0 29
139 326 0 29
139 327 0 29
140 327 0 29
140 328 0 29
140 329 0 28
140 330 0 28
140 331 0 28
140 332 0 28
140 333 0 28
140 334 0 29
140 335 0 30
140 336 0 30
140 337 0 30
140 338 0 30
140 339 0 30
140 340 0 30
140 341 0 30
140 342 0 30
140 343 0 30
140 344 0 30
140 345 0 30
140 346 0 30
141 346 1 30
142 346 1 30
143 346 1 30
144 346 0 30
144 347 0 31
144 348 0 31
144 349 0 31
144 350 0 31
144 351 0 31
144 352 0 31
144 353 0 31
144 354 0 31
144 355 0 31
145 355 1 31
146 355 0 31
146 356 0 31
146 357 0 31
146 358 0 30
146 359 0 30
146 360 0 30
147 360 1 30
148 360 1 30
149 360 1 30
150 360 0 30
150 361 0 30
150 362 0 30
150 363 0 30
150 364 0 30
150 365 0 30
150 366 0 30
151 366 0 30
151 367 0 30
151 368 0 30
151 369 0 30
152 369 0 30
152 370 0 30
152 371 0 30
152 372 0 30
152 373 0 30
152 374 0 30
152 375 0 30
152 376 0 30
152 377 0 30
152 378 0 30
152 379 0 30
152 380 0 30
152 381 0 30
152 382 0 30
153 382 1 30
154 382 1 30
155 382 1 30
156 382 1 30
157 382 1 30
158 382 1 30
159 382 1 30
160 382 0 30
160 383 0 30
160 384 0 30
160 385 0 30
160 386 0 30
160 387 0 31
161 387 1 32
162 387 1 32
163 387 1 32
164 387 1 33
165 387 1 33
166 387 1 33
167 387 1 33
168 387 1 33
169 387 1 33
170 387 1 33
171 387 1 33
172 387 1 33
173 387 0 33
173 388 0 33
173 389 0 33
173 390 0 34
173 391 0 34
173 392 0 34
173 393 0 34
173 394 0 35
173 395 0 35
173 396 0 35
173 397 0 35
173 398 0 35
173 399 0 35
173 400 0 35
173 401 0 35
173 402 0 35
174 402 1 35
175 402 1 35
176 402 0 35
176 403 0 35
176 404 0 35
176 405 0 35
176 406 0 36
176 407 0 36
176 408 0 35
176 409 0 35
176 410 0 35
176 411 0 35
176 412 0 34
176 413 0 34
177 413 1 34
178 413 0 34
178 414 0 34
178 415 0 34
178 416 0 34
178 417 0 33
178 418 0 33
178 419 0 33
178 420 0 33
178 421 0 32
179 421 1 32
180 421 1 32
181 421 1 32
182 421 0 32
182 422 0 32
182 423 0 32
182 424 0 32
182 425 0 32
182 426 0 32
182 427 0 32
182 428 0 32
183 428 1 32
184 428 1 33
185 428 1 33
186 428 1 33
187 428 1 33
188 428 0 33
188 429 0 33
188 430 0 33
188 431 0 33
188 432 0 33
188 433 0 33
188 434 0 33
188 435 0 33
188 436 0 32
189 436 1 32
190 436 0 32
190 437 0 32
190 438 0 31
190 439 0 31
190 440 0 31
190 441 0 31
190 442 0 31
190 443 0 31
190 444 0 31
190 445 0 31
190 446 0 31
190 447 0 31
190 448 0 31
190 449 0 31
191 449 0 31
191 450 0 31
191 451 0 30
191 452 0 30
191 453 0 30
191 454 0 30
191 455 0 30
191 456 0 30
191 457 0 30
191 458 0 30
191 459 0 31
191 460 0 31
191 461 0 31
191 462 0 31
192 462 1 31
193 462 1 31
194 462 2 31
195 462 2 31
196 462 2 31
197 462 2 31
198 462 1 31
199 462 0 31
200 462 1 31
201 462 1 31
202 462 1 31
203 462 1 31
204 462 1 31
205 462 0 31
205 463 0 31
205 464 0 31
205 465 0 32
205 466 0 32
205 467 0 32
205 468 0 32
205 469 0 32
205 470 0 32
206 470 0 32
206 471 0 32
206 472 0 32
206 473 0 32
206 474 0 32
206 475 0 32
206 476 0 32
206 477 0 33
206 478 0 33
207 478 1 33
208 478 1 33
209 478 1 33
210 478 1 33
211 478 0 33
211 479 0 33
211 480 0 33
211 481 0 33
211 482 0 33
211 483 0 33
211 484 0 32
211 485 0 32
211 486 0 32
211 487 0 32
211 488 0 32
211 489 0 32
212 489 1 32
213 489 0 32
213 490 0 32
213 491 0 31
213 492 0 31
213 493 0 31
213 494 0 31
213 495 0 31
213 496 0 31
213 497 0 31
214 497 1 31
215 497 0 31
215 498 0 30
215 499 0 30
215 500 0 29
215 501 0 28
215 502 0 28
215 503 0 28
216 503 0 28
216 504 0 28
216 505 0 28
216 506 0 28
216 507 0 27
217 507 1 28
218 507 1 28
219 507 0 28
219 508 0 28
219 509 0 28
219 510 0 28
219 511 0 28
219 512 0 29
220 512 1 29
221 512 1 29
222 512 0 29
222 513 0 29
222 514 0 29
222 515 0 29
222 516 0 29
222 517 0 29
222 518 0 29
222 519 0 29
222 520 0 29
222 521 0 29
222 522 0 29
222 523 0 29
222 524 0 29
222 525 0 30
223 525 1 30
224 525 1 31
225 525 1 31
226 525 0 31
226 526 0 31
226 527 0 31
227 527 1 31
228 527 0 31
228 528 0 31
228 529 0 31
228 530 0 31
228 531 0 31
228 532 0 31
229 532 0 31
229 533 0 30
229 534 0 30
229 535 0 30
230 535 0 30
230 536 0 30
230 537 0 30
230 538 0 30
230 539 0 30
230 540 0 30
230 541 0 31
230 542 0 31
231 542 1 31
232 542 0 31
232 543 0 30
232 544 0 30
232 545 0 30
232 546 0 30
232 547 0 30
232 548 0 31
232 549 0 31
232 550 0 31
232 551 0 31
233 551 1 32
234 551 1 33
235 551 0 33
235 552 0 33
235 553 0 34
235 554 0 34
235 555 0 34
235 556 0 35
235 557 0 35
235 558 0 36
235 559 0 37
235 560 0 37
236 560 0 37
236 561 0 37
236 562 0 37
236 563 0 37
236 564 0 37
236 565 0 37
236 566 0 37
236 567 0 37
236 568 0 37
236 569 0 37
236 570 0 37
236 571 0 37
236 572 0 37
236 573 0 36
236 574 0 36
237 574 1 36
238 574 1 36
239 574 1 36
240 574 0 36
240 575 0 36
240 576 0 36
240 577 0 36
240 578 0 36
240 579 0 36
240 580 0 36
240 581 0 35
241 581 1 36
242 581 1 36
243 581 1 37
244 581 1 37
245 581 1 37
246 581 1 37
247 581 1 37
248 581 0 37
248 582 0 38
248 583 0 38
248 584 0 38
248 585 0 39
248 586 0 39
248 587 0 39
249 587 0 39
249 588 0 39
249 589 0 40
249 590 0 40
249 591 0 40
249 592 0 40
249 593 0 40
249 594 0 40
249 595 0 40
249 596 0 41
249 597 0 40
249 598 0 41
249 599 0 41
249 600 0 41
249 601 0 41
249 602 0 41
249 603 0 41
249 604 0 41
249 605 0 41
250 605 1 42
251 605 1 42
252 605 0 42
252 606 0 43
252 607 0 43
252 608 0 43
252 609 0 43
252 610 0 43
252 611 0 43
252 612 0 43
252 613 0 43
253 613 0 43
253 614 0 43
253 615 0 44
254 615 0 44
254 616 0 44
254 617 0 45
254 618 0 45
254 619 0 45
254 620 0 45
254 621 0 45
254 622 0 44
254 623 0 44
254 624 0 44
254 625 0 44
254 626 0 43
255 626 0 43
255 627 0 43
255 628 0 43
256 628 1 43
257 628 1 43
258 628 0 43
258 629 0 43
258 630 0 43
258 631 0 43
258 632 0 43
258 633 0 43
258 634 0 43
258 635 0 44
258 636 0 44
259 636 1 44
260 636 1 44
261 636 1 44
262 636 1 44
263 636 0 44
263 637 0 44
263 638 0 44
263 639 0 44
263 640 0 44
263 641 0 44
264 641 0 44
264 642 0 44
264 643 0 44
264 644 0 44
264 645 0 44
264 646 0 43
264 647 0 43
264 648 0 43
264 649 0 43
265 649 0 43
265 650 0 43
265 651 0 43
265 652 0 43
265 653 0 43
265 654 0 43
265 655 0 43
266 655 0 43
266 656 0 43
266 657 0 43
266 658 0 43
266 659 0 43
266 660 0 44
266 661 0 44
266 662 0 44
266 663 0 44
266 664 0 43
266 665 0 43
266 666 0 43
266 667 0 44
267 667 0 44
267 668 0 44
267 669 0 44
267 670 0 45
267 671 0 45
267 672 0 45
267 673 0 45
267 674 0 45
267 675 0 45
267 676 0 45
267 677 0 45
267 678 0 45
267 679 0 46
268 679 1 46
269 679 1 46
270 679 1 46
271 679 1 46
272 679 1 47
273 679 0 47
273 680 0 47
273 681 0 47
273 682 0 46
273 683 0 46
273 684 0 46
273 685 0 47
273 686 0 47
273 687 0 47
274 687 1 47
275 687 1 47
276 687 1 48
277 687 0 48
277 688 0 48
277 689 0 49
277 690 0 49
277 691 0 50
277 692 0 50
277 693 0 50
277 694 0 50
277 695 0 50
278 695 1 50
279 695 1 50
280 695 1 50
281 695 0 50
281 696 0 50
281 697 0 51
281 698 0 51
281 699 0 51
281 700 0 51
281 701 0 51
281 702 0 52
282 702 1 52
283 702 0 52
283 703 0 52
283 704 0 52
283 705 0 52
283 706 0 52
283 707 0 52
283 708 0 52
283 709 0 52
283 710 0 52
283 711 0 52
283 712 0 52
283 713 0 52
283 714 0 52
283 715 0 51
283 716 0 51
283 717 0 52
